,RUN,AVB_Anod_CONTROL_AveargeRunLogRTs,TXM_Anod_CONTROL_AveargeRunLogRTs,SRH_Anod_CONTROL_AveargeRunLogRTs,CRB_Anod_CONTROL_AveargeRunLogRTs,VXE_Anod_CONTROL_AveargeRunLogRTs,EGW_Anod_CONTROL_AveargeRunLogRTs,MTG_Anod_CONTROL_AveargeRunLogRTs,JEC_Anod_CONTROL_AveargeRunLogRTs,STF_Anod_CONTROL_AveargeRunLogRTs,MAM_Anod_CONTROL_AveargeRunLogRTs,DLC_Anod_CONTROL_AveargeRunLogRTs,JAF_Anod_CONTROL_AveargeRunLogRTs,VXP_Anod_CONTROL_AveargeRunLogRTs,AAF_Anod_CONTROL_AveargeRunLogRTs,LOW_Anod_CONTROL_AveargeRunLogRTs,JSH_Anod_CONTROL_AveargeRunLogRTs,FRF_Anod_CONTROL_AveargeRunLogRTs,IXD_Anod_CONTROL_AveargeRunLogRTs,RJO_Anod_CONTROL_AveargeRunLogRTs,DSL_Anod_CONTROL_AveargeRunLogRTs,RID_Anod_CONTROL_AveargeRunLogRTs,GroupAvgPercentFast
0,Run2,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.615384615384617,1.5873015873015872,0.0,21.818181818181817,0.0,2.366073080358795
1,Run3,5.454545454545454,0.0,1.408450704225352,0.0,0.0,0.0,4.545454545454546,0.0,3.0303030303030303,0.0,0.0,0.0,0.0,3.571428571428572,0.0,0.0,52.4390243902439,0.0,0.0,48.0,0.0,5.6404384141048025
2,Run4,8.771929824561404,0.0,4.109589041095891,0.0,0.0,0.0,3.333333333333333,0.0,0.0,1.639344262295082,0.0,4.109589041095891,0.0,0.0,0.0,0.0,20.967741935483872,2.898550724637681,0.0,74.4186046511628,2.816901408450704,5.860265915338887
3,Run5,3.4482758620689653,6.0606060606060606,13.75,0.0,0.0,10.9375,0.0,0.0,4.3478260869565215,1.7241379310344829,0.0,42.52873563218391,0.0,0.0,2.272727272727273,0.0,40.25974025974026,4.3478260869565215,0.0,65.33333333333333,35.8974358974359,10.995625924906822
4,Run6,3.508771929824561,0.0,19.047619047619047,0.0,1.5873015873015872,58.22784810126582,4.166666666666667,0.0,0.0,9.67741935483871,0.0,43.67816091954023,0.0,3.4482758620689653,0.0,0.0,50.0,10.0,0.0,64.1025641025641,51.72413793103448,15.198512642986865
5,Run7,12.280701754385966,14.492753623188406,20.0,0.0,4.761904761904762,75.0,0.0,0.0,3.896103896103896,6.25,0.0,54.83870967741935,3.703703703703704,0.0,0.0,0.0,27.027027027027028,31.64556962025317,0.0,62.16216216216216,79.56989247311827,18.83945374758413
6,Run8,3.703703703703704,9.375,21.686746987951807,0.0,0.0,67.05882352941177,0.0,0.0,0.0,10.0,0.0,61.95652173913044,1.851851851851852,0.0,0.0,0.0,28.571428571428573,35.44303797468354,1.9230769230769231,46.15384615384615,89.79591836734694,17.977140752496748
7,Run9,7.407407407407407,10.76923076923077,26.436781609195403,0.0,0.0,52.7027027027027,9.523809523809524,0.0,7.894736842105263,15.151515151515152,0.0,47.12643678160919,2.5641025641025643,0.0,0.0,0.0,56.62650602409639,52.87356321839081,0.0,54.054054054054056,57.31707317073171,19.068948562807186
8,Run11,1.7857142857142858,6.0606060606060606,23.863636363636363,0.0,0.0,39.130434782608695,0.0,0.0,38.8235294117647,11.594202898550725,0.0,48.27586206896552,0.0,0.0,0.0,0.0,22.535211267605632,47.61904761904762,0.0,46.478873239436616,53.01204819277108,16.151388866224156
9,Run12,20.689655172413797,23.943661971830984,64.64646464646465,0.0,12.307692307692308,50.0,0.0,0.0,60.0,17.91044776119403,0.0,59.57446808510638,2.0408163265306123,0.0,0.0,0.0,40.74074074074074,50.0,0.0,36.231884057971016,32.098765432098766,22.38974269057349
10,Run14,8.474576271186441,11.594202898550725,78.35051546391753,0.0,4.838709677419355,42.465753424657535,7.142857142857143,0.0,18.75,12.857142857142858,0.0,56.38297872340426,6.666666666666667,0.0,0.0,0.0,0.0,49.42528735632184,0.0,72.41379310344827,0.0,17.588689694551075
11,Run15,18.75,20.54794520547945,80.37383177570094,2.4390243902439024,1.639344262295082,78.57142857142857,0.0,3.4482758620689653,79.79797979797979,31.08108108108108,0.0,68.68686868686869,0.0,2.1739130434782608,0.0,0.0,38.66666666666666,77.77777777777777,2.1739130434782608,58.66666666666666,8.108108108108109,27.281086901872488
12,Run16,31.88405797101449,23.943661971830984,55.55555555555556,0.0,3.225806451612903,81.25,0.0,3.508771929824561,79.0,45.23809523809524,0.0,84.84848484848484,4.3478260869565215,0.0,0.0,0.0,40.54054054054054,85.14851485148515,5.172413793103448,65.38461538461539,49.42528735632184,31.355887237116264
13,Run17,27.692307692307693,50.0,73.73737373737374,11.11111111111111,0.0,82.65306122448979,0.0,5.2631578947368425,82.82828282828282,58.333333333333336,0.0,82.85714285714286,2.1739130434782608,0.0,4.166666666666667,2.127659574468085,28.205128205128204,67.67676767676768,5.769230769230769,51.51515151515152,59.550561797752806,33.12670713940105
14,Run18,20.967741935483872,48.71794871794872,76.41509433962264,13.157894736842104,6.451612903225806,87.5,0.0,8.474576271186441,79.6116504854369,50.0,0.0,79.8076923076923,5.128205128205129,0.0,3.333333333333333,0.0,24.324324324324323,55.55555555555556,7.6923076923076925,63.75,91.91919191919192,34.41938712620747
15,Run19,12.06896551724138,35.526315789473685,76.69902912621359,5.128205128205129,19.696969696969692,72.91666666666667,3.703703703703704,11.475409836065571,80.8080808080808,44.5945945945946,4.081632653061225,75.92592592592592,0.0,0.0,5.555555555555555,0.0,59.523809523809526,47.674418604651166,15.517241379310343,70.73170731707317,84.6938775510204,34.5867671132201
16,Run20,,41.891891891891895,79.6116504854369,5.128205128205129,30.88235294117647,82.0,0.0,12.698412698412698,57.83132530120482,35.13513513513514,0.0,92.07920792079209,0.0,0.0,0.0,2.7777777777777777,32.87671232876713,70.52631578947368,26.666666666666668,75.29411764705883,81.91489361702128,36.36573326645102
17,Run21,6.666666666666667,37.9746835443038,81.65137614678899,0.0,45.94594594594594,76.59574468085107,0.0,28.78787878787879,78.125,42.66666666666666,1.96078431372549,90.26548672566372,0.0,0.0,4.545454545454546,0.0,54.02298850574713,62.22222222222222,17.857142857142858,55.71428571428572,79.56989247311827,36.40820094268865
18,Run23,29.310344827586206,32.394366197183096,78.78787878787878,0.0,4.918032786885246,65.1685393258427,0.0,14.285714285714286,67.3913043478261,30.43478260869565,0.0,88.88888888888889,0.0,0.0,0.0,0.0,64.8936170212766,60.46511627906977,4.25531914893617,65.51724137931035,53.57142857142857,31.442027355072497
19,Run24,9.836065573770492,37.83783783783784,85.18518518518519,0.0,14.516129032258064,50.72463768115942,0.0,20.63492063492064,94.94949494949496,37.17948717948718,0.0,90.17857142857144,1.7857142857142858,0.0,0.0,0.0,31.88405797101449,72.34042553191489,11.11111111111111,61.333333333333336,54.65116279069768,32.10229212030814
20,Run26,10.526315789473683,0.0,78.57142857142857,0.0,0.0,79.24528301886792,0.0,4.6875,54.54545454545455,29.069767441860463,1.9230769230769231,83.83838383838383,0.0,0.0,3.508771929824561,0.0,62.5,72.72727272727273,7.575757575757576,65.93406593406593,83.83838383838383,30.404355339707166
21,Run27,11.11111111111111,16.438356164383563,91.15044247787613,5.882352941176471,0.0,90.990990990991,0.0,29.23076923076923,78.21782178217822,48.27586206896552,0.0,85.96491228070175,0.0,0.0,15.873015873015872,3.7735849056603774,81.81818181818181,72.72727272727273,40.54054054054054,71.73913043478261,50.57471264367816,37.82424085672786
22,Run28,23.88059701492537,58.69565217391305,86.92307692307692,3.92156862745098,7.462686567164179,83.9622641509434,0.0,15.0,92.5,67.67676767676768,1.8867924528301887,81.81818181818181,1.96078431372549,1.8867924528301887,16.666666666666668,1.9230769230769231,87.12871287128714,88.11881188118812,51.94805194805195,72.22222222222223,46.42857142857143,42.47672752918446
23,Run29,26.08695652173913,53.57142857142857,89.92248062015504,8.0,32.05128205128205,89.74358974358974,0.0,30.88235294117647,83.46456692913385,43.373493975903614,0.0,87.82608695652173,0.0,0.0,27.11864406779661,8.695652173913043,16.438356164383563,80.17241379310344,47.22222222222222,74.73684210526316,85.85858585858585,42.15071212839038
24,Run30,35.294117647058826,57.30337078651685,87.6923076923077,16.9811320754717,65.3061224489796,89.56521739130434,2.083333333333333,30.0,72.97297297297297,65.65656565656566,0.0,94.16666666666669,0.0,0.0,28.8135593220339,6.382978723404255,53.48837209302326,76.57657657657657,42.25352112676056,69.76744186046511,83.16831683168317,46.546313009767836
25,Run31,25.0,62.36559139784946,82.94573643410853,18.181818181818183,66.66666666666667,88.28828828828829,0.0,42.64705882352941,84.82142857142857,60.824742268041234,1.851851851851852,81.6,0.0,0.0,7.017543859649122,3.571428571428572,37.66233766233766,75.51020408163265,36.206896551724135,50.0,93.26923076923076,43.734801141885
26,Run32,42.465753424657535,62.7906976744186,82.3529411764706,28.846153846153847,65.97938144329896,84.0,0.0,34.78260869565217,77.41935483870968,62.765957446808514,11.864406779661016,82.45614035087719,0.0,0.0,8.0,12.0,47.5609756097561,61.29032258064516,13.559322033898304,75.26881720430107,78.94736842105263,44.397628644112444
27,Run33,26.153846153846157,67.816091954023,86.99186991869918,18.867924528301888,62.62626262626262,84.76190476190476,1.694915254237288,26.86567164179105,87.82608695652173,61.458333333333336,5.2631578947368425,85.18518518518519,0.0,0.0,5.357142857142857,0.0,73.19587628865979,74.46808510638297,24.193548387096776,62.19512195121951,80.1980198019802,44.52947831434882
28,Run35,21.53846153846154,52.5,86.51685393258427,8.51063829787234,34.177215189873415,81.0,0.0,15.151515151515152,71.71717171717172,61.95652173913044,0.0,77.77777777777777,0.0,0.0,26.229508196721312,0.0,61.36363636363637,37.34939759036145,27.77777777777778,65.11627906976744,84.84848484848484,38.73958281862552
29,Run36,26.984126984126984,54.76190476190476,75.20661157024793,4.444444444444445,58.333333333333336,71.11111111111111,5.882352941176471,5.084745762711864,89.62264150943396,63.91752577319588,6.896551724137931,93.91304347826087,2.083333333333333,0.0,4.166666666666667,0.0,66.66666666666667,67.34693877551021,44.5945945945946,69.56521739130434,76.76767676767676,42.25473750427801
