,RUN,EGW_Sham_CONTROL_AveargeRunLogRTs,MTG_Sham_CONTROL_AveargeRunLogRTs,VXE_Sham_CONTROL_AveargeRunLogRTs,SRH_Sham_CONTROL_AveargeRunLogRTs,TXM_Sham_CONTROL_AveargeRunLogRTs,CRB_Sham_CONTROL_AveargeRunLogRTs,AVB_Sham_CONTROL_AveargeRunLogRTs,JAF_Sham_CONTROL_AveargeRunLogRTs,DLC_Sham_CONTROL_AveargeRunLogRTs,MAM_Sham_CONTROL_AveargeRunLogRTs,STF_Sham_CONTROL_AveargeRunLogRTs,JEC_Sham_CONTROL_AveargeRunLogRTs,FRF_Sham_CONTROL_AveargeRunLogRTs,JSH_Sham_CONTROL_AveargeRunLogRTs,LOW_Sham_CONTROL_AveargeRunLogRTs,AAF_Sham_CONTROL_AveargeRunLogRTs,VXP_Sham_CONTROL_AveargeRunLogRTs,RID_Sham_CONTROL_AveargeRunLogRTs,DSL_Sham_CONTROL_AveargeRunLogRTs,IXD_Sham_CONTROL_AveargeRunLogRTs,RJO_Sham_CONTROL_AveargeRunLogRTs,GroupAvgPercentFast
0,Run2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.311475409836067,1.014832162373146
1,Run3,0.0,0.0,0.0,38.70967741935484,0.0,0.0,0.0,3.0303030303030303,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,3.225806451612903,0.0,0.0,0.0,0.0,41.55844155844156,4.194606117129159
2,Run4,0.0,0.0,0.0,65.65656565656566,0.0,0.0,0.0,11.267605633802816,0.0,3.0303030303030303,0.0,0.0,43.03797468354431,0.0,0.0,0.0,0.0,0.0,0.0,2.898550724637681,53.16455696202532,8.526455080518039
3,Run5,0.0,2.631578947368421,5.555555555555555,84.76190476190476,0.0,0.0,5.882352941176471,26.25,2.0408163265306123,1.5151515151515151,0.0,0.0,56.09756097560975,0.0,0.0,2.9411764705882355,1.818181818181818,0.0,0.0,7.142857142857143,67.44186046511628,12.57519032952574
4,Run6,0.0,0.0,7.142857142857143,76.47058823529412,0.0,0.0,0.0,57.89473684210526,2.0408163265306123,12.5,5.194805194805195,0.0,65.9090909090909,0.0,0.0,0.0,0.0,11.267605633802816,3.636363636363636,2.9411764705882355,75.53191489361703,15.263331204050235
5,Run7,0.0,0.0,12.5,79.04761904761905,0.0,0.0,2.272727272727273,73.73737373737374,8.928571428571429,6.0606060606060606,1.3157894736842106,0.0,20.3125,0.0,0.0,2.702702702702702,0.0,26.923076923076923,0.0,11.428571428571429,66.66666666666667,14.852200225790451
6,Run8,0.0,0.0,15.254237288135592,83.17757009345794,0.0,0.0,0.0,61.29032258064516,12.727272727272728,18.181818181818183,10.126582278481012,0.0,1.6129032258064515,0.0,0.0,2.9411764705882355,0.0,26.923076923076923,1.851851851851852,34.93975903614458,70.11494252873563,16.14959586600068
7,Run9,0.0,0.0,19.047619047619047,75.0,6.349206349206349,2.083333333333333,2.127659574468085,67.02127659574468,10.0,15.942028985507246,16.666666666666668,0.0,69.41176470588235,0.0,0.0,6.25,0.0,14.102564102564102,0.0,61.90476190476191,74.44444444444444,20.96911074810468
8,Run11,0.0,0.0,21.12676056338028,75.78947368421052,0.0,0.0,0.0,23.376623376623375,0.0,1.6666666666666667,9.75609756097561,0.0,6.779661016949152,0.0,0.0,2.857142857142857,0.0,0.0,0.0,3.225806451612903,55.81395348837209,9.542485031711118
9,Run12,0.0,0.0,43.75,80.95238095238095,0.0,0.0,0.0,64.8936170212766,0.0,14.92537313432836,28.08988764044944,0.0,26.47058823529412,0.0,0.0,0.0,0.0,0.0,0.0,1.492537313432836,45.45454545454545,14.57280617865275
10,Run14,0.0,0.0,28.571428571428573,77.17391304347827,0.0,0.0,0.0,44.31818181818182,0.0,6.25,15.662650602409638,0.0,46.75324675324676,0.0,0.0,5.405405405405405,0.0,0.0,0.0,0.0,48.14814814814815,12.96585592106184
11,Run15,0.0,0.0,57.64705882352941,77.06422018348624,0.0,1.96078431372549,0.0,86.86868686868686,0.0,9.836065573770492,49.48453608247423,0.0,21.12676056338028,0.0,0.0,2.272727272727273,0.0,0.0,9.836065573770492,52.27272727272727,42.028985507246375,19.542791335024972
12,Run16,0.0,2.702702702702702,55.294117647058826,88.28828828828829,1.6129032258064515,1.8867924528301887,2.272727272727273,74.54545454545455,16.363636363636363,23.68421052631579,86.86868686868686,0.0,76.84210526315789,0.0,5.882352941176471,4.444444444444445,1.851851851851852,0.0,20.338983050847457,63.333333333333336,58.75,27.85536146563423
13,Run17,0.0,0.0,58.42696629213483,60.9375,3.333333333333333,9.25925925925926,5.882352941176471,74.75728155339806,0.0,20.58823529411765,81.57894736842105,0.0,3.333333333333333,0.0,5.405405405405405,19.148936170212767,1.818181818181818,0.0,40.298507462686565,82.82828282828282,53.333333333333336,24.80618363777508
14,Run18,0.0,0.0,54.21686746987952,89.69072164948453,9.836065573770492,5.555555555555555,12.5,65.47619047619048,2.1739130434782608,21.21212121212121,79.81651376146789,0.0,79.7872340425532,0.0,0.0,20.40816326530612,5.084745762711864,1.2820512820512822,37.3134328358209,75.51020408163265,63.41463414634146,29.679924483731682
15,Run19,0.0,0.0,25.0,86.92307692307692,7.8125,6.0,18.51851851851852,69.6969696969697,0.0,25.67567567567568,79.27927927927928,0.0,61.90476190476191,0.0,0.0,2.1739130434782608,3.508771929824561,7.894736842105263,45.45454545454545,75.72815533980582,58.75,27.34861450514482
16,Run20,0.0,0.0,48.10126582278481,79.16666666666667,12.857142857142858,2.1739130434782608,8.0,58.888888888888886,7.407407407407407,25.33333333333333,81.41592920353982,0.0,1.5151515151515151,1.818181818181818,0.0,5.555555555555555,1.7543859649122806,55.294117647058826,43.47826086956522,77.77777777777777,63.29113924050633,27.32519607675959
17,Run21,0.0,4.166666666666667,56.47058823529412,79.48717948717949,35.526315789473685,0.0,15.09433962264151,58.888888888888886,2.3255813953488373,23.88059701492537,82.45614035087719,0.0,73.62637362637362,1.7543859649122806,0.0,0.0,1.7857142857142858,44.44444444444444,51.388888888888886,84.6938775510204,50.66666666666666,31.745554708538872
18,Run23,0.0,4.0,51.80722891566265,86.81318681318682,32.432432432432435,0.0,3.8461538461538463,86.86868686868686,5.555555555555555,18.181818181818183,80.8080808080808,0.0,27.3972602739726,1.8867924528301887,0.0,4.761904761904762,1.851851851851852,0.0,33.333333333333336,76.59574468085107,50.0,26.959049084586713
19,Run24,0.0,4.3478260869565215,30.985915492957748,84.03361344537815,33.80281690140845,1.96078431372549,23.214285714285715,86.08695652173913,2.0,22.950819672131143,88.9908256880734,0.0,63.2183908045977,0.0,4.3478260869565215,2.380952380952381,6.779661016949152,0.0,52.63157894736842,60.869565217391305,48.71794871794872,29.39617938137238
20,Run26,0.0,0.0,51.13636363636363,85.56701030927834,22.666666666666668,0.0,5.769230769230769,57.7319587628866,0.0,15.27777777777778,61.61616161616162,0.0,67.02127659574468,1.7857142857142858,0.0,0.0,0.0,24.324324324324323,31.34328358208955,71.1340206185567,56.81818181818182,26.29485575061794
21,Run27,0.0,0.0,60.674157303370784,84.61538461538461,28.37837837837838,12.280701754385966,31.14754098360656,73.0,0.0,15.873015873015872,91.34615384615384,0.0,87.87878787878788,1.6666666666666667,1.7241379310344829,0.0,1.6666666666666667,70.2127659574468,48.75,84.31372549019608,73.46938775510205,36.52368910000937
22,Run28,9.523809523809524,0.0,57.64705882352941,83.03571428571429,62.06896551724138,25.0,11.864406779661016,72.97297297297297,5.084745762711864,15.714285714285714,93.89312977099236,0.0,70.70707070707071,4.918032786885246,1.818181818181818,0.0,6.557377049180328,88.88888888888889,59.49367088607595,85.96491228070175,83.16831683168317,39.92007335236126
23,Run29,6.25,0.0,43.58974358974359,76.27118644067797,50.0,27.11864406779661,5.454545454545454,76.52173913043478,3.636363636363636,60.869565217391305,94.77611940298507,0.0,54.32098765432099,6.557377049180328,1.7241379310344829,0.0,9.375,86.86868686868686,62.96296296296296,85.34482758620689,81.48148148148148,39.67254135589583
24,Run30,1.818181818181818,0.0,55.78947368421053,89.76377952755905,69.23076923076923,23.63636363636364,16.949152542372882,68.42105263157895,6.666666666666667,28.767123287671232,93.93939393939394,0.0,62.7906976744186,23.07692307692308,0.0,0.0,6.25,84.21052631578948,53.94736842105263,80.50847457627118,71.1340206185567,39.85237941179903
25,Run31,12.06896551724138,0.0,58.51063829787234,81.98198198198199,59.30232558139535,10.344827586206897,2.1739130434782608,72.64150943396227,5.084745762711864,50.588235294117645,96.15384615384616,0.0,67.03296703296704,37.3134328358209,1.5873015873015872,8.51063829787234,6.451612903225806,67.41573033707866,70.37037037037037,80.35714285714286,68.88888888888889,40.79900351254679
26,Run32,3.508771929824561,0.0,67.36842105263158,88.13559322033899,50.0,29.508196721311474,8.928571428571429,86.72566371681415,5.0,34.375,94.8529411764706,0.0,60.71428571428572,15.873015873015872,13.636363636363637,2.3255813953488373,12.12121212121212,76.34408602150538,55.4054054054054,79.04761904761905,69.47368421052632,40.63544822244025
27,Run33,3.389830508474576,0.0,62.92134831460674,84.7457627118644,66.66666666666667,23.728813559322035,37.5,78.86178861788618,10.909090909090908,51.25,88.88888888888889,0.0,77.41935483870968,33.333333333333336,16.666666666666668,4.878048780487805,4.761904761904762,73.03370786516854,52.5,77.77777777777777,63.2183908045977,43.45006547644985
28,Run35,0.0,0.0,48.80952380952381,93.61702127659576,46.25,0.0,5.660377358490566,76.76767676767676,7.017543859649122,40.24390243902439,62.62626262626262,0.0,57.142857142857146,5.172413793103448,33.333333333333336,6.122448979591836,0.0,60.46511627906977,55.12820512820513,70.83333333333333,63.2183908045977,34.87659080625308
29,Run36,4.081632653061225,0.0,56.47058823529412,87.5,43.90243902439025,3.92156862745098,28.8135593220339,77.98165137614679,1.7241379310344829,30.985915492957748,90.29126213592232,0.0,78.49462365591398,6.666666666666667,25.42372881355932,0.0,5.172413793103448,42.85714285714285,64.19753086419753,80.95238095238095,75.78947368421052,38.3441293374032
